Nationality,Gender,WaitforSuperior,WaitforFamily,WaitforFriend,WaitforLover,MakeSuperiorWait,MakeFamilyWait,MakeFriendWait,MakeLoverWait
Japan,Female,30,120,120,30,0,10,5,30
Malaysia,Female,60,60,30,30,30,10,10,30
Malaysia,Female,60,60,30,60,5,15,15,15
Netherlan,Female,30,30,30,30,0,15,15,0
Canada,Male,10,20,15,180,5,10,10,0
United Kingdom,Male,10,20,10,30,10,20,10,10
Japan,Female,60,60,60,60,10,30,15,30
Japan,Male,15,10,10,10,5,10,5,5
United States,Male,15,15,15,15,10,10,10,10
Iran,Male,30,30,10,30,10,10,10,10
Japan,Female,180,60,180,60,5,30,30,60
Japan,Female,90,60,90,30,5,30,30,30
Japan,Female,30,120,120,30,5,30,30,60
Japan,Female,60,180,120,120,5,30,20,60
Japan,Male,10,15,15,30,0,0,0,0
France,Female,60,180,30,180,10,10,10,10
Brazil,Female,30,10,30,1,15,30,30,30
Finland,Male,60,30,30,60,0,15,10,5
United States,Female,30,60,60,60,5,20,20,60
Japan,Female,60,60,60,60,15,30,30,30
Hong Kong,Female,60,60,60,60,30,30,30,30
Japan,Male,180,180,180,180,0,15,60,0
Japan,Male,60,60,60,180,0,60,60,0
Japan,Female,30,60,60,30,10,30,10,30
China,Female,30,180,20,20,5,10,20,30
Singapore,Male,30,60,30,30,5,15,10,5
Morocco,Male,30,180,5,60,5,120,120,1
Hong Kong,Female,30,60,30,60,10,45,30,60
France,Male,30,60,45,60,15,30,30,30
France,Female,20,20,20,30,15,30,30,30
Japan,Male,30,30,60,30,5,10,10,5
Japan,Male,30,1,10,15,2,5,3,5
Japan,Male,60,120,60,60,60,15,15,15
Japan,Male,30,5,30,30,5,10,10,10
